티커,권리락일,분할/병합
A,2014-11-03,1.398
AAPL,1987-06-16,2.0
AAPL,2000-06-21,2.0
AAPL,2005-02-28,2.0
AAPL,2014-06-09,7.0
AAPL,2020-08-31,4.0
ABM,1983-02-04,1.5
ABM,1989-04-10,1.25
ABM,1992-07-31,2.0
ABM,1996-08-06,2.0
ABM,2002-05-07,2.0
ABR,2012-08-30,10.0
ABT,1964-04-27,2.0
ABT,1975-08-25,2.0
ABT,1978-05-22,2.0
ABT,1981-05-29,2.0
ABT,1981-06-01,2.0
ABT,1986-06-02,2.0
ABT,1990-06-01,2.0
ABT,1992-06-01,2.0
ABT,1998-06-01,2.0
ABT,2004-05-03,1.069
ABT,2013-01-02,2.084
ADI,1980-04-16,1.25
ADI,1981-04-07,1.25
ADI,1982-04-13,1.25
ADI,1983-04-05,1.5
ADI,1984-04-17,1.333
ADI,1985-04-16,1.25
ADI,1986-04-15,1.333
ADI,1995-01-05,1.5
ADI,1996-01-04,1.5
ADI,1997-01-07,1.333
ADI,2000-03-16,2.0
ADM,1975-12-11,1.499
ADM,1977-08-26,1.05
ADM,1978-08-28,1.05
ADM,1979-08-27,1.05
ADM,1980-10-27,1.05
ADM,1981-03-23,1.5
ADM,1981-08-17,1.05
ADM,1982-08-17,1.05
ADM,1983-08-16,1.05
ADM,1984-08-14,1.05
ADM,1985-08-13,1.05
ADM,1986-06-03,1.5
ADM,1986-08-12,1.05
ADM,1987-08-11,1.05
ADM,1988-08-16,1.05
ADM,1989-08-22,1.05
ADM,1989-12-05,1.5
ADM,1990-08-14,1.05
ADM,1991-08-13,1.05
ADM,1992-08-11,1.05
ADM,1993-08-17,1.05
ADM,1994-08-16,1.05
ADM,1994-12-06,1.5
ADM,1995-08-17,1.05
ADM,1996-08-15,1.05
ADM,1997-08-14,1.05
ADM,1998-08-20,1.05
ADM,1999-08-19,1.05
ADM,2000-08-24,1.05
ADM,2001-08-30,1.05
ADP,1976-07-02,2.0
ADP,1981-05-22,2.0
ADP,1986-06-09,2.0
ADP,1991-05-01,2.0
ADP,1996-01-02,2.0
ADP,1997-09-08,1.5
ADP,1999-01-04,2.0
ADP,2007-04-02,1.107
ADP,2014-10-01,1.139
AEP,1962-10-31,2.0
AES,1994-02-01,1.5
AES,1994-03-04,1.03
AES,1997-08-29,2.0
AES,2000-06-02,2.0
AFG,1982-01-25,1.5
AFG,1988-03-14,2.0
AFG,2006-12-18,1.5
AFL,1983-12-14,1.2
AFL,1984-10-22,1.1
AFL,1985-06-04,1.5
AFL,1986-03-03,1.333
AFL,1987-02-03,2.0
AFL,1993-06-15,1.25
AFL,1996-03-18,1.5
AFL,1998-06-09,2.0
AFL,2001-03-19,2.0
