티커,배당락일,직전_배당락일,배당금액_n,직전_배당금액_n,배당금액_s,직전_배당금액_s,수정배당금액_s,직전_수정배당금액_s,수정배당금액_y,직전_수정배당금액_y,수정배당금액_d,직전_수정배당금액_d,조정팩터_s,직전_조정팩터_s,지급주기_s,직전_지급주기_s,배당유형_s,직전_배당유형_s
BF/B,2024-09-03,2024-06-07,0.2178,0.2178,0.2178,0.2178,0.2178,0.2178,0.218,0.218,0.218,0.218,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
CAH,2024-10-01,2024-07-01,0.5056,0.5056,0.5056,0.5056,0.5056,0.5056,0.506,0.506,0.506,0.506,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
CBSH,2024-12-03,2024-09-05,0.27,0.27,0.54,0.27,0.5142857,0.2571428571428572,0.27,0.27,0.27,0.27,1.05,1.05,QUARTERLY,QUARTERLY,Regular,Regular
CHD,2024-11-15,2024-08-15,0.28375,0.28375,0.28375,0.28375,0.28375,0.28375,0.284,0.284,0.2838,0.2838,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
DOV,2024-11-29,2024-08-30,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.52,0.52,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
ELS,2024-09-27,2024-06-28,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.478,0.478,0.478,0.478,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
EVRG,2024-11-21,2024-08-20,0.6675,0.6425,0.6675,0.6425,0.6675,0.6425,0.668,0.643,0.668,0.643,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
LOGI,2024-09-24,2023-09-25,1.368658,1.187609,1.3712,1.1622,1.3712,1.1622,,1.17,1.289,1.1622,1.0,1.0,ANNUAL,ANNUAL,Regular,Regular
OGE,2024-10-07,2024-07-08,0.42125,0.4182,0.42125,0.4182,0.42125,0.4182,0.421,0.418,0.4212,0.4182,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
ORI,2024-12-06,2024-09-06,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.27,0.265,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
PEP,2024-12-06,2024-09-06,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.36,1.36,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
STAG,2024-11-29,2024-10-31,0.123333,0.123333,0.123333,0.123333,0.123333,0.123333,0.123,0.123,0.1233,0.1233,1.0,1.0,MONTHLY,MONTHLY,Regular,Regular
TSN,2024-11-29,2024-08-30,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.49,0.49,0.49,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
WRB,2024-09-23,2024-09-23,0.25,0.08,0.08,0.08,0.08,0.08,0.33,0.33,0.25,0.25,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
