티커,권리락일,분할/병합,분할/병합 여부
A,2014-11-03,1.398,Y
AAPL,1987-06-16,2.0,Y
AAPL,2000-06-21,2.0,Y
AAPL,2005-02-28,2.0,Y
AAPL,2014-06-09,7.0,Y
AAPL,2020-08-31,4.0,Y
ABM,1983-02-04,1.5,Y
ABM,1989-04-10,1.25,Y
ABM,1992-07-31,2.0,Y
ABM,1996-08-06,2.0,Y
ABM,2002-05-07,2.0,Y
ABR,2012-08-30,10.0,Y
ABT,1964-04-27,2.0,Y
ABT,1975-08-25,2.0,Y
ABT,1978-05-22,2.0,Y
ABT,1981-05-29,2.0,Y
ABT,1981-06-01,2.0,Y
ABT,1986-06-02,2.0,Y
ABT,1990-06-01,2.0,Y
ABT,1992-06-01,2.0,Y
ABT,1998-06-01,2.0,Y
ABT,2004-05-03,1.069,Y
ABT,2013-01-02,2.084,Y
ADI,1975-03-17,1.049,Y
ADI,1976-03-16,1.049,Y
ADI,1977-03-15,1.05,Y
ADI,1978-03-20,1.1,Y
ADI,1979-04-23,2.0,Y
ADI,1980-04-16,1.25,Y
ADI,1981-04-07,1.25,Y
ADI,1982-04-13,1.25,Y
ADI,1983-04-05,1.5,Y
ADI,1984-04-17,1.333,Y
ADI,1985-04-16,1.25,Y
ADI,1986-04-15,1.333,Y
ADI,1995-01-05,1.5,Y
ADI,1996-01-04,1.5,Y
ADI,1997-01-07,1.333,Y
ADI,2000-03-16,2.0,Y
ADM,1975-12-11,1.499,Y
ADM,1977-08-26,1.05,Y
ADM,1978-08-28,1.05,Y
ADM,1979-08-27,1.05,Y
ADM,1980-10-27,1.05,Y
ADM,1981-03-23,1.5,Y
ADM,1981-08-17,1.05,Y
ADM,1982-08-17,1.05,Y
ADM,1983-08-16,1.05,Y
ADM,1984-08-14,1.05,Y
ADM,1985-08-13,1.05,Y
ADM,1986-06-03,1.5,Y
ADM,1986-08-12,1.05,Y
ADM,1987-08-11,1.05,Y
ADM,1988-08-16,1.05,Y
ADM,1989-08-22,1.05,Y
ADM,1989-12-05,1.5,Y
ADM,1990-08-14,1.05,Y
ADM,1991-08-13,1.05,Y
ADM,1992-08-11,1.05,Y
ADM,1993-08-17,1.05,Y
ADM,1994-08-16,1.05,Y
ADM,1994-12-06,1.5,Y
ADM,1995-08-17,1.05,Y
ADM,1996-08-15,1.05,Y
ADM,1997-08-14,1.05,Y
ADM,1998-08-20,1.05,Y
ADM,1999-08-19,1.05,Y
ADM,2000-08-24,1.05,Y
ADM,2001-08-30,1.05,Y
ADP,1976-07-02,2.0,Y
ADP,1981-05-22,2.0,Y
ADP,1986-06-09,2.0,Y
ADP,1991-05-01,2.0,Y
ADP,1996-01-02,2.0,Y
ADP,1997-09-08,1.5,Y
ADP,1999-01-04,2.0,Y
ADP,2007-04-02,1.107,Y
ADP,2014-10-01,1.139,Y
AEP,1962-10-31,2.0,Y
AES,1994-02-01,1.5,Y
AES,1994-03-04,1.03,Y
