티커,배당락일,직전_배당락일,배당금액_n,직전_배당금액_n,배당금액_s,직전_배당금액_s,수정배당금액_s,직전_수정배당금액_s,수정배당금액_y,직전_수정배당금액_y,수정배당금액_d,직전_수정배당금액_d,조정팩터_s,직전_조정팩터_s,지급주기_s,직전_지급주기_s,배당유형_s,직전_배당유형_s
ALE,2024-08-15,2024-05-14,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.7005,0.705,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
BCC,2024-09-03,2024-09-03,5.0,0.21,0.21,0.21,0.21,0.21,5.21,5.21,5.21,5.21,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
CHD,2024-08-15,2024-05-14,0.28375,0.28375,0.28375,0.28375,0.28375,0.28375,0.284,0.284,0.2838,0.2838,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
COP,2024-08-12,2024-05-10,0.2,0.2,0.78,0.78,0.78,0.78,0.78,0.78,0.58,0.78,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
JPM,2024-10-04,2024-07-05,1.25,1.15,1.25,1.15,1.25,1.15,1.25,1.15,1.15,1.15,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
LOGI,2024-09-24,2023-09-25,1.368658,1.187609,1.3712,1.1622,1.3712,1.1622,,1.17,1.289,1.1622,1.0,1.0,ANNUAL,ANNUAL,Regular,Regular
LRCX,2024-09-17,2024-06-18,2.3,2.0,2.3,2.0,0.23,0.2,2.3,0.2,0.23,0.2,10.0,10.0,QUARTERLY,QUARTERLY,Regular,Regular
OGE,2024-10-07,2024-07-08,0.42125,0.4182,0.42125,0.4182,0.42125,0.4182,0.421,0.418,0.4213,0.4182,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
OTEX,2024-08-30,2024-05-31,0.2625,0.25,0.2625,0.25,0.2625,0.25,0.263,0.25,0.1901,0.25,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
SIRI,2024-08-09,2024-05-09,0.0266,0.0266,0.0266,0.0266,0.266,0.266,0.027,0.027,0.27,0.27,0.1,0.1,QUARTERLY,QUARTERLY,Regular,Regular
STAG,2024-09-30,2024-08-30,0.123333,0.123333,0.123333,0.123333,0.123333,0.123333,0.123,0.123,0.1233,0.1233,1.0,1.0,MONTHLY,MONTHLY,Regular,Regular
TTEK,2024-08-15,2024-05-17,0.29,0.29,0.29,0.29,0.058,0.058,0.058,0.058,0.29,0.29,5.0,5.0,QUARTERLY,QUARTERLY,Regular,Regular
WRB,2024-09-23,2024-09-23,0.25,0.08,0.08,0.08,0.08,0.08,0.33,0.33,0.33,0.33,1.0,1.0,QUARTERLY,QUARTERLY,Regular,Regular
